[FTL] 2016-07-30 06:59:23 | Error: FATAL:  database "lisk_main" does not exist
[WRN] 2016-07-30 07:48:34 | Removing peer POST http://123.56.250.203:8000/peer/blocks
[inf] 2016-07-30 07:51:42 | Lisk started: 0.0.0.0:4000
[inf] 2016-07-30 07:51:42 | Modules ready and launched
[inf] 2016-07-30 07:51:42 | Blocks 33
[WRN] 2016-07-30 07:51:42 | Detected orphaned blocks in mem_accounts
[WRN] 2016-07-30 07:51:42 | Recreating memory tables
[inf] 2016-07-30 07:51:42 | Rebuilding blockchain, current block height: 0
[inf] 2016-07-30 07:51:44 | Blockchain ready
[inf] 2016-07-30 07:51:44 | Peers ready, stored 160
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 8273455169423958419L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 12254605294831056546L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 14018336151296112016L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 2003981962043442425L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 15685993315437640088L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 13796903232533379929L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 10395427086746342233L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 10555862272344793163L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 9090572627256317041L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 6147291942291731858L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 1478505779553195737L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 3485190523478756562L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 7749538982696555450L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 11858068254874463650L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 11959294293312794939L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 6572481065061292413L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 537318935439898807L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 11194005483892021001L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 12689367895996075612L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 12937672077630275226L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 6719024567117648644L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 2185933284430885504L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 263761216888896549L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 6996737717246838071L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 17769700073017685523L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 18101328368221611426L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 3654804916322462690L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 6214967903930344618L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 6700417780469657062L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 17416795040643460696L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 7806545753492919148L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 16807489144327319524L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 11009807324631489084L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 5380829552614149409L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 18181157191600196376L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 15279149762694772854L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 15867701141673224975L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 13787002016364430124L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 5312766513260345125L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 11613981515632820140L
[inf] 2016-07-30 07:51:44 | Forging enabled on account: 4351572711388220555L
